list,order,item,audio,condition,concept,prime,colour_repetition,prime_description,target_description,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,target_pattern,prime_pattern,filler_prime_category,filler_target_category,target_object,distractor1_sameN_sameC_DiffP,distractor2_sameN_DiffC_sameP,distractor4_sameN_DiffC_DiffP,distractor3_DiffNoun_sameC_sameP,distractor6_DiffN_SameC_DiffP,distractor5_repeated_diffN_diffColor_sameP,distractor7_non_repeated_prime_DiffN_DiffC_DiffP,alternative noun,alternative colour,alternative pattern,targetPosition,distractor1_sameN_sameC_DiffP,distractor2_sameN_DiffC_sameP,distractor4_sameN_DiffC_DiffP,distractor3_DiffNoun_sameC_sameP,distractor6_repeated_prime_DiffN_SameC_DiffP,distractor5_repeated_diffN_diffColor_sameP,distractor7_non_repeated_prime_DiffN_DiffC_DiffP,expTrials,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,recordingName
1,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png,N_List1_Order1_Item-f21_Cond9
2,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png,N_List2_Order1_Item-f21_Cond9
3,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png,N_List3_Order1_Item-f21_Cond9
4,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png,N_List4_Order1_Item-f21_Cond9
5,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png,N_List5_Order1_Item-f21_Cond9
6,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png,N_List6_Order1_Item-f21_Cond9
7,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png,N_List7_Order1_Item-f21_Cond9
8,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png,N_List8_Order1_Item-f21_Cond9
1,2,f16,f16.mp3,9,,AN,,The small chisel,chisel upside down,,chisel,,,chisel,,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,,,,N,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png,N_List1_Order2_Item-f16_Cond9
2,2,f16,f16.mp3,9,,AN,,The small chisel,chisel upside down,,chisel,,,chisel,,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,,,,N,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png,N_List2_Order2_Item-f16_Cond9
